"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1691","testCanCreateEmployeeViaUi","Surefire suite","Mon Feb 23 13:36:11 UTC 2026","passed","Mon Feb 23 13:36:13 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testCanCreateEmployeeViaUi"
"","799","testCanCreateEmployee","Surefire suite","Mon Feb 23 13:36:02 UTC 2026","passed","Mon Feb 23 13:36:03 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCanCreateEmployee"
"","2368","testWireMockIsWorking","Surefire suite","Mon Feb 23 13:35:59 UTC 2026","passed","Mon Feb 23 13:36:02 UTC 2026","com.example.integration.WireMockLearningTest","Surefire test","com.example.integration.WireMockLearningTest","testWireMockIsWorking"
"","8122","testApplicationOpens","Surefire suite","Mon Feb 23 13:36:03 UTC 2026","passed","Mon Feb 23 13:36:11 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testApplicationOpens"
"","326","testNavigationMenu","Surefire suite","Mon Feb 23 13:36:13 UTC 2026","passed","Mon Feb 23 13:36:13 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testNavigationMenu"
"","372","testCannotCreateEmployeeWithoutEmail","Surefire suite","Mon Feb 23 13:36:03 UTC 2026","passed","Mon Feb 23 13:36:03 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCannotCreateEmployeeWithoutEmail"
