"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2092","testWireMockIsWorking","Surefire suite","Mon Feb 23 14:11:47 UTC 2026","passed","Mon Feb 23 14:11:49 UTC 2026","com.example.integration.WireMockLearningTest","Surefire test","com.example.integration.WireMockLearningTest","testWireMockIsWorking"
"","1972","testCanCreateEmployeeViaUi","Surefire suite","Mon Feb 23 14:12:05 UTC 2026","passed","Mon Feb 23 14:12:07 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testCanCreateEmployeeViaUi"
"","341","testNavigationMenu","Surefire suite","Mon Feb 23 14:12:07 UTC 2026","passed","Mon Feb 23 14:12:08 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testNavigationMenu"
"","756","testCanCreateEmployee","Surefire suite","Mon Feb 23 14:11:49 UTC 2026","passed","Mon Feb 23 14:11:50 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCanCreateEmployee"
"","315","testCannotCreateEmployeeWithoutEmail","Surefire suite","Mon Feb 23 14:11:50 UTC 2026","passed","Mon Feb 23 14:11:50 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCannotCreateEmployeeWithoutEmail"
"","15124","testApplicationOpens","Surefire suite","Mon Feb 23 14:11:50 UTC 2026","passed","Mon Feb 23 14:12:05 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testApplicationOpens"
