"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","336","testCannotCreateEmployeeWithoutEmail","Surefire suite","Thu Jan 29 09:36:28 UTC 2026","passed","Thu Jan 29 09:36:28 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCannotCreateEmployeeWithoutEmail"
"","774","testCanCreateEmployee","Surefire suite","Thu Jan 29 09:36:27 UTC 2026","passed","Thu Jan 29 09:36:28 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCanCreateEmployee"
"","306","testNavigationMenu","Surefire suite","Thu Jan 29 09:36:39 UTC 2026","passed","Thu Jan 29 09:36:39 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testNavigationMenu"
"","2067","testWireMockIsWorking","Surefire suite","Thu Jan 29 09:36:25 UTC 2026","passed","Thu Jan 29 09:36:27 UTC 2026","com.example.integration.WireMockLearningTest","Surefire test","com.example.integration.WireMockLearningTest","testWireMockIsWorking"
"","1633","testCanCreateEmployeeViaUi","Surefire suite","Thu Jan 29 09:36:37 UTC 2026","passed","Thu Jan 29 09:36:39 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testCanCreateEmployeeViaUi"
"","9369","testApplicationOpens","Surefire suite","Thu Jan 29 09:36:28 UTC 2026","passed","Thu Jan 29 09:36:37 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testApplicationOpens"
