"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1577","testCanCreateEmployeeViaUi","Surefire suite","Fri Jan 30 15:38:39 UTC 2026","passed","Fri Jan 30 15:38:41 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testCanCreateEmployeeViaUi"
"","2314","testWireMockIsWorking","Surefire suite","Fri Jan 30 15:38:27 UTC 2026","passed","Fri Jan 30 15:38:30 UTC 2026","com.example.integration.WireMockLearningTest","Surefire test","com.example.integration.WireMockLearningTest","testWireMockIsWorking"
"","347","testCannotCreateEmployeeWithoutEmail","Surefire suite","Fri Jan 30 15:38:31 UTC 2026","passed","Fri Jan 30 15:38:31 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCannotCreateEmployeeWithoutEmail"
"","697","testCanCreateEmployee","Surefire suite","Fri Jan 30 15:38:30 UTC 2026","passed","Fri Jan 30 15:38:31 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCanCreateEmployee"
"","302","testNavigationMenu","Surefire suite","Fri Jan 30 15:38:41 UTC 2026","passed","Fri Jan 30 15:38:41 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testNavigationMenu"
"","8292","testApplicationOpens","Surefire suite","Fri Jan 30 15:38:31 UTC 2026","passed","Fri Jan 30 15:38:39 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testApplicationOpens"
