"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2407","testWireMockIsWorking","Surefire suite","Mon Feb 23 11:37:03 UTC 2026","passed","Mon Feb 23 11:37:05 UTC 2026","com.example.integration.WireMockLearningTest","Surefire test","com.example.integration.WireMockLearningTest","testWireMockIsWorking"
"","1669","testCanCreateEmployeeViaUi","Surefire suite","Mon Feb 23 11:37:13 UTC 2026","passed","Mon Feb 23 11:37:15 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testCanCreateEmployeeViaUi"
"","302","testNavigationMenu","Surefire suite","Mon Feb 23 11:37:15 UTC 2026","passed","Mon Feb 23 11:37:15 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testNavigationMenu"
"","6825","testApplicationOpens","Surefire suite","Mon Feb 23 11:37:06 UTC 2026","passed","Mon Feb 23 11:37:13 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testApplicationOpens"
"","778","testCanCreateEmployee","Surefire suite","Mon Feb 23 11:37:05 UTC 2026","passed","Mon Feb 23 11:37:06 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCanCreateEmployee"
"","348","testCannotCreateEmployeeWithoutEmail","Surefire suite","Mon Feb 23 11:37:06 UTC 2026","passed","Mon Feb 23 11:37:06 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCannotCreateEmployeeWithoutEmail"
