"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","731","testCanCreateEmployee","Surefire suite","Fri Jan 30 09:52:55 UTC 2026","passed","Fri Jan 30 09:52:55 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCanCreateEmployee"
"","1478","testCanCreateEmployeeViaUi","Surefire suite","Fri Jan 30 09:52:59 UTC 2026","passed","Fri Jan 30 09:53:00 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testCanCreateEmployeeViaUi"
"","2293","testWireMockIsWorking","Surefire suite","Fri Jan 30 09:52:52 UTC 2026","passed","Fri Jan 30 09:52:55 UTC 2026","com.example.integration.WireMockLearningTest","Surefire test","com.example.integration.WireMockLearningTest","testWireMockIsWorking"
"","316","testCannotCreateEmployeeWithoutEmail","Surefire suite","Fri Jan 30 09:52:55 UTC 2026","passed","Fri Jan 30 09:52:56 UTC 2026","com.example.api.tests.EmployeeApiTest","Surefire test","com.example.api.tests.EmployeeApiTest","testCannotCreateEmployeeWithoutEmail"
"","293","testNavigationMenu","Surefire suite","Fri Jan 30 09:53:00 UTC 2026","passed","Fri Jan 30 09:53:01 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testNavigationMenu"
"","3134","testApplicationOpens","Surefire suite","Fri Jan 30 09:52:56 UTC 2026","passed","Fri Jan 30 09:52:59 UTC 2026","com.example.ui.tests.EmployeeUiTest","Surefire test","com.example.ui.tests.EmployeeUiTest","testApplicationOpens"
